Variety,Avg. Price
Zweigelt,21.40
Zlahtina,14.83
Zinfandel,27.91
Žilavka,14.33
Zierfandler-Rotgipfler,23.33
Zierfandler,33.57
Zibibbo,35.73
Zelen,
Yapincak,17.00
Xynisteri,17.67
Xinomavro,21.82
Xinisteri,16.67
Xarel-lo,18.67
White Riesling,19.78
White Port,27.00
White Blend,22.72
Welschriesling,32.49
Weissburgunder,24.68
Vranec,15.67
Vranac,11.00
Viura-Verdejo,12.33
Viura-Sauvignon Blanc,13.00
Viura-Chardonnay,9.83
Viura,13.52
Vitovska,54.00
Vital,
Viosinho,23.40
Viognier-Valdiguié,17.00
Viognier-Roussanne,26.08
Viognier-Marsanne,19.80
Viognier-Grenache Blanc,31.60
Viognier-Gewürztraminer,15.00
Viognier-Chardonnay,18.00
Viognier,24.53
Vinhão,22.00
Vilana,11.60
Vignoles,16.12
Vidal Blanc,35.01
Vidal,42.07
Vidadillo,24.00
Vespolina,25.00
Vespaiolo,25.00
Vernaccia,18.73
Vermentino Nero,45.00
Vermentino,22.84
Verduzzo Friulano,36.15
Verduzzo,30.54
Verdosilla,17.00
Verdil,18.00
Verdicchio,22.00
Verdelho,17.56
Verdejo-Viura,10.79
Verdejo-Sauvignon Blanc,12.64
Verdejo,15.78
Verdeca,15.00
Veltliner,29.33
Valvin Muscat,13.00
Valdiguié,21.78
Uvalino,29.00
Uva di Troia,24.88
Ugni Blanc-Colombard,10.59
Ugni Blanc,27.00
Turbiana,23.56
Tsolikouri,14.00
Tsapournakos,27.00
Trousseau Gris,24.25
Trousseau,37.67
Trollinger,21.50
Trincadeira,20.26
Trepat,22.00
Treixadura,17.00
Trebbiano-Malvasia,51.75
Trebbiano Spoletino,22.40
Trebbiano di Lugana,20.25
Trebbiano,23.20
Traminette,14.14
Traminer,24.38
Trajadura,7.00
Touriga Nacional-Cabernet Sauvignon,14.00
Touriga Nacional Blend,22.92
Touriga Nacional,27.91
Touriga Franca,23.25
Touriga,45.67
Torrontés,12.90
Torontel,40.00
Torbato,21.00
Tokay Pinot Gris,28.60
Tokay,71.88
Tokaji,68.28
Tocai Rosso,16.00
Tocai Friulano,24.91
Tocai,20.50
Tinto Velasco,9.00
Tinto Fino,72.34
Tinto del Pais,52.28
Tintilia,25.00
Tinta Roriz,27.70
Tinta Negra Mole,46.67
Tinta Miúda,18.67
Tinta Madeira,45.00
Tinta Francisca,52.50
Tinta Fina,30.50
Tinta del Toro,23.33
Tinta del Pais,47.50
Tinta de Toro,44.83
Tinta Cao,14.00
Tinta Barroca,25.20
Tinta Amarela,30.00
Timorasso,41.60
Thrapsathiri,25.00
Terret Blanc,
Terrantez,236.00
Teroldego Rotaliano,15.00
Teroldego,32.31
Teran,24.00
Tempranillo-Tannat,20.00
Tempranillo-Syrah,17.50
Tempranillo-Shiraz,14.87
Tempranillo-Merlot,14.48
Tempranillo-Malbec,29.00
Tempranillo-Garnacha,10.83
Tempranillo-Cabernet Sauvignon,35.23
Tempranillo Blend,34.41
Tempranillo Blanco,30.44
Tempranillo,30.45
Tannat-Syrah,16.75
Tannat-Merlot,18.50
Tannat-Cabernet Franc,21.56
Tannat-Cabernet,19.42
Tannat,30.29
Tamjanika,18.80
Tamianka,20.00
Tămâioasă Românească,11.00
Tai,10.00
Syrah-Viognier,45.97
Syrah-Tempranillo,36.85
Syrah-Petite Sirah,39.30
Syrah-Petit Verdot,39.67
Syrah-Mourvèdre,31.48
Syrah-Merlot,28.90
Syrah-Malbec,14.00
Syrah-Grenache-Viognier,20.60
Syrah-Grenache,26.59
Syrah-Carignan,22.00
Syrah-Cabernet Sauvignon,43.75
Syrah-Cabernet Franc,67.88
Syrah-Cabernet,28.72
Syrah-Bonarda,13.00
Syrah,37.73
Symphony,15.00
Sylvaner,21.71
Susumaniello,34.73
Steen,11.00
St. Vincent,24.00
St. Laurent,32.29
St. George,11.33
Spätburgunder,60.59
Sparkling Blend,27.88
Souzao,28.00
Sousão,35.27
Sirica,29.75
Siria,13.78
Silvaner-Traminer,25.00
Silvaner,41.88
Siegerrebe,13.80
Sideritis,23.00
Shiraz-Viognier,41.83
Shiraz-Tempranillo,9.40
Shiraz-Roussanne,29.00
Shiraz-Pinotage,11.33
Shiraz-Mourvèdre,17.43
Shiraz-Merlot,10.00
Shiraz-Malbec,17.22
Shiraz-Grenache,24.96
Shiraz-Cabernet Sauvignon,20.40
Shiraz-Cabernet,56.33
Shiraz,36.95
Sherry,31.61
Seyval Blanc,18.82
Sercial,35.50
Semillon-Sauvignon Blanc,28.06
Semillon-Chardonnay,10.38
Sémillon,23.19
Segalin,10.00
Sciaccerellu,37.33
Schwartzriesling,25.00
Schiava,18.90
Scheurebe,43.06
Savatiano,14.50
Savagnin,39.81
Sauvignonasse,25.00
Sauvignon-Sémillon,12.00
Sauvignon Musqué,21.50
Sauvignon Gris,22.48
Sauvignon Blanc-Verdejo,12.11
Sauvignon Blanc-Semillon,25.56
Sauvignon Blanc-Sauvignon Gris,
Sauvignon Blanc-Chenin Blanc,15.00
Sauvignon Blanc-Chardonnay,19.47
Sauvignon Blanc-Assyrtiko,20.00
Sauvignon Blanc,19.33
Sauvignon,25.21
Sarba,10.00
Saperavi-Merlot,17.25
Saperavi,21.53
Sangiovese-Syrah,48.00
Sangiovese-Cabernet Sauvignon,29.22
Sangiovese Grosso,62.55
Sangiovese Cabernet,44.60
Sangiovese,40.31
Sämling,38.00
Sagrantino,52.40
Sacy,19.00
Ryzlink Rýnský,40.00
Rufete,23.00
Ruen,15.00
Ruché,26.58
Roviello,28.00
Roussanne-Viognier,29.54
Roussanne-Marsanne,31.71
Roussanne-Grenache Blanc,16.00
Roussanne,27.45
Rotgipfler,27.42
Roter Veltliner,34.00
Roter Traminer,30.17
Rosenmuskateller,150.00
Rosé,18.12
Roscetto,23.00
Rosato,17.85
Rosado,13.27
Romorantin,22.50
Rolle,21.00
Roditis-Moschofilero,11.00
Roditis,14.54
Robola,22.44
Rkatsiteli,21.68
Rivaner,16.00
Riesling-Chardonnay,40.00
Riesling,30.78
Rieslaner,39.50
Ribolla Gialla,27.08
Rhône-style White Blend,31.29
Rhône-style Red Blend,32.17
Refosco,37.53
Red Blend,35.71
Rebula,23.25
Rebo,27.00
Rara Neagra,17.50
Ramisco,495.00
Raboso,23.22
Rabigato,34.00
Pugnitello,49.17
Prunelard,23.00
Prugnolo Gentile,45.97
Provence white blend,24.67
Provence red blend,32.20
Prosecco,18.53
Prokupac,20.67
Primitivo,23.89
Prieto Picudo,34.11
Prié Blanc,24.57
Premsal,15.00
Poulsard,26.00
Posip,24.80
Portuguiser,15.00
Portuguese White,15.02
Portuguese Sparkling,17.39
Portuguese Rosé,14.84
Portuguese Red,24.37
Port,56.78
Plyto,19.50
Plavac Mali,34.94
Piquepoul Blanc,13.00
Pinotage-Merlot,10.00
