Country,Variety,Avg. Price
New Zealand,Zweigelt,
Croatia,Zweigelt,25.00
Austria,Zweigelt,21.22
New Zealand,Zinfandel,25.00
Israel,Zinfandel,25.00
Chile,Zinfandel,
Australia,Zinfandel,36.75
Slovenia,Zelen,
Tunisia,White Blend,
South Africa,White Blend,19.73
Slovenia,White Blend,36.43
Portugal,White Blend,19.41
New Zealand,White Blend,14.00
Italy,White Blend,28.13
Israel,White Blend,20.59
Germany,White Blend,18.75
France,White Blend,18.48
Croatia,White Blend,25.40
Chile,White Blend,15.92
Austria,White Blend,33.89
Australia,White Blend,15.60
Argentina,White Blend,18.55
Portugal,Vital,
Portugal,Viognier-Chardonnay,
France,Viognier-Chardonnay,17.00
Chile,Viognier-Chardonnay,14.33
France,Terret Blanc,
Argentina,Tempranillo-Malbec,
South Africa,Syrah-Viognier,20.00
New Zealand,Syrah-Viognier,
Israel,Syrah-Viognier,50.00
France,Syrah-Viognier,66.00
Argentina,Syrah-Viognier,62.50
France,Sauvignon Blanc-Sauvignon Gris,
South Africa,Sauvignon Blanc,15.28
Slovenia,Sauvignon Blanc,19.85
Portugal,Sauvignon Blanc,18.52
New Zealand,Sauvignon Blanc,17.78
Italy,Sauvignon Blanc,24.29
Israel,Sauvignon Blanc,16.42
Germany,Sauvignon Blanc,28.00
France,Sauvignon Blanc,26.45
Croatia,Sauvignon Blanc,
Chile,Sauvignon Blanc,13.70
Austria,Sauvignon Blanc,30.19
Australia,Sauvignon Blanc,16.84
Argentina,Sauvignon Blanc,13.80
South Africa,Roussanne-Marsanne,
Israel,Roussanne-Marsanne,50.00
France,Roussanne-Marsanne,40.00
Tunisia,Rosé,
South Africa,Rosé,13.26
Slovenia,Rosé,23.60
Portugal,Rosé,11.51
New Zealand,Rosé,16.80
Italy,Rosé,15.65
Israel,Rosé,18.80
Germany,Rosé,19.29
France,Rosé,19.71
Croatia,Rosé,21.00
Chile,Rosé,12.55
Austria,Rosé,15.02
Australia,Rosé,17.54
Argentina,Rosé,13.14
Slovenia,Pinot Gris,28.25
New Zealand,Pinot Gris,20.96
Israel,Pinot Gris,15.00
Germany,Pinot Gris,19.23
France,Pinot Gris,35.88
Croatia,Pinot Gris,
Austria,Pinot Gris,23.25
Australia,Pinot Gris,18.73
Argentina,Pinot Gris,11.67
Portugal,Pinot Blanc,
Germany,Pinot Blanc,20.80
France,Pinot Blanc,18.91
Austria,Pinot Blanc,23.63
France,Pineau d'Aunis,
France,Petit Meslier,
Portugal,Merlot-Syrah,24.00
France,Merlot-Syrah,
South Africa,Merlot-Cabernet Franc,
Slovenia,Merlot-Cabernet Franc,60.00
New Zealand,Merlot-Cabernet Franc,66.33
France,Merlot-Cabernet Franc,23.00
Chile,Merlot-Cabernet Franc,20.00
Australia,Merlot-Cabernet Franc,35.50
Argentina,Merlot-Cabernet Franc,27.00
France,Malbec Blend,
Argentina,Malbec Blend,57.00
Italy,Grenache,230.00
France,Grenache,31.08
Egypt,Grenache,
Croatia,Grenache,19.00
Australia,Grenache,41.35
Portugal,Espadeiro,
Italy,Enantio,
France,Ekigaïna,
South Africa,Clairette,
France,Clairette,16.00
South Africa,Chenin Blanc,17.89
Portugal,Chenin Blanc,19.50
New Zealand,Chenin Blanc,26.75
Israel,Chenin Blanc,30.00
France,Chenin Blanc,27.00
Egypt,Chenin Blanc,
Australia,Chenin Blanc,16.80
Argentina,Chenin Blanc,16.00
Germany,Chardonnay-Pinot Blanc,25.00
France,Chardonnay-Pinot Blanc,
Austria,Chardonnay-Pinot Blanc,52.86
South Africa,Chardonnay,20.39
Slovenia,Chardonnay,21.57
Portugal,Chardonnay,18.64
New Zealand,Chardonnay,26.51
Italy,Chardonnay,32.03
Israel,Chardonnay,22.85
Germany,Chardonnay,25.82
France,Chardonnay,61.05
Croatia,Chardonnay,
Chile,Chardonnay,14.86
Brazil,Chardonnay,25.00
Austria,Chardonnay,36.71
Australia,Chardonnay,22.28
Argentina,Chardonnay,15.22
South Africa,Cabernet Sauvignon-Cabernet Franc,28.40
Israel,Cabernet Sauvignon-Cabernet Franc,45.00
France,Cabernet Sauvignon-Cabernet Franc,
Chile,Cabernet Sauvignon-Cabernet Franc,27.67
Australia,Cabernet Sauvignon-Cabernet Franc,25.00
Argentina,Cabernet Sauvignon-Cabernet Franc,18.00
New Zealand,Cabernet Merlot,25.00
Israel,Cabernet Merlot,49.40
France,Cabernet Merlot,12.00
Austria,Cabernet Merlot,
Australia,Cabernet Merlot,19.95
South Africa,Cabernet Franc,27.80
Slovenia,Cabernet Franc,35.00
New Zealand,Cabernet Franc,30.00
Italy,Cabernet Franc,85.23
Israel,Cabernet Franc,28.06
France,Cabernet Franc,22.97
Chile,Cabernet Franc,23.83
Brazil,Cabernet Franc,
Austria,Cabernet Franc,47.00
Australia,Cabernet Franc,31.50
Argentina,Cabernet Franc,42.77
France,Biancu Gentile,
Germany,Bacchus,
Portugal,Alicante Bouschet,31.37
Australia,Alicante Bouschet,
